Country Name,Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Angola,AGO,5930503401.0,5550483036.0,5550483036.0,5784341596.0,6131475065.0,7554065410.0,7072536109.0,8084412414.0,8769836769.0,10201780977.0,11229515599.0,10603784541.0,8307810974.0,5768720422.0,4438321017.0,5538749260.0,7526421519.0,7648380196.0,6506221616.0,6152923310.0,9129594970.0,8936079118.0,15285592370.0,17812704586.0,23552057679.0,36970900884.0,52381025141.0,65266415494.0,88538665085.0,70307196182.0,83799474070.0,112000000000.0,128000000000.0,132000000000.0,136000000000.0,90496420507.0,52761617226.0,73690154991.0,79450688259.0,70897962732.0,48501561204.0,66505129988.0,104000000000.0
Albania,ALB,1578102105.0,1808177156.0,1861163170.0,1881412587.0,1857337995.0,1897050117.0,2097326250.0,2080796250.0,2051236250.0,2253090000.0,2028553750.0,1099559028.0,652174990.8,1185315468.0,1880950864.0,2905092799.0,3234486232.0,2293666030.0,2600356999.0,3283941510.0,3584570165.0,4059064033.0,4515003117.0,5801712040.0,7406645793.0,8256658250.0,9150528132.0,11116937870.0,13258506375.0,12335540656.0,12086545641.0,12973755875.0,12246499748.0,12796985886.0,13296322588.0,11470171827.0,11988668785.0,13258268436.0,15379508330.0,15585111614.0,15241455556.0,18032009220.0,19017244117.0
Andorra,AND,446377776.8,388983266.2,375914743.6,327850042.5,330073080.6,346742714.7,481996012.9,611299924.5,721425939.2,795489582.0,1028989692.0,1106891362.0,1209992020.0,1007090270.0,1017544069.0,1178745283.0,1224024139.0,1180645572.0,1211953994.0,1240295103.0,1432606189.0,1548265808.0,1764279824.0,2366941809.0,2900245324.0,3161084091.0,3459337987.0,3957625367.0,4102319399.0,3688976341.0,3449925739.0,3629133574.0,3188652765.0,3193512950.0,3271685597.0,2789881259.0,2896610480.0,3000162081.0,3218419897.0,3155149348.0,2891001149.0,3324647529.0,3380612573.0
United Arab Emirates,ARE,43599160050.0,49333424135.0,46622718605.0,42803323345.0,41807954236.0,40603650232.0,33943612095.0,36384908744.0,36275674203.0,41464995914.0,50701443748.0,51552165622.0,54239171888.0,55625170253.0,59305093980.0,65743666576.0,73571233996.0,78839008445.0,75674336283.0,84445473111.0,104000000000.0,103000000000.0,110000000000.0,124000000000.0,148000000000.0,181000000000.0,222000000000.0,258000000000.0,315000000000.0,254000000000.0,300000000000.0,361000000000.0,385000000000.0,400000000000.0,414000000000.0,370000000000.0,369000000000.0,391000000000.0,427000000000.0,418000000000.0,349000000000.0,415000000000.0,503000000000.0
Argentina,ARG,76961923741.0,78676842367.0,84307486837.0,104000000000.0,117000000000.0,88150891728.0,106000000000.0,109000000000.0,127000000000.0,76629728760.0,141000000000.0,190000000000.0,229000000000.0,237000000000.0,257000000000.0,258000000000.0,272000000000.0,293000000000.0,299000000000.0,284000000000.0,284000000000.0,269000000000.0,97724004252.0,128000000000.0,165000000000.0,199000000000.0,233000000000.0,288000000000.0,362000000000.0,333000000000.0,424000000000.0,530000000000.0,546000000000.0,552000000000.0,526000000000.0,595000000000.0,558000000000.0,644000000000.0,525000000000.0,448000000000.0,386000000000.0,487000000000.0,633000000000.0
Antigua and Barbuda,ATG,132451851.9,149388888.9,166444444.4,184866666.7,212214814.8,246370370.4,297562963.0,346866666.7,411396296.3,455174074.1,478718518.5,504337037.0,525133333.3,565662963.0,625081481.5,616051851.9,679140740.7,734422222.2,789788888.9,835544444.4,901003703.7,877774074.1,898092592.6,948100000.0,1026329630.0,1143896296.0,1303674074.0,1487381481.0,1557640741.0,1386518519.0,1298348148.0,1287359259.0,1364729630.0,1325496296.0,1378707407.0,1437485185.0,1489603704.0,1534855556.0,1661529630.0,1726448148.0,1411637037.0,1602125926.0,1866566667.0
Australia,AUS,150000000000.0,177000000000.0,194000000000.0,177000000000.0,194000000000.0,181000000000.0,182000000000.0,189000000000.0,236000000000.0,300000000000.0,311000000000.0,326000000000.0,326000000000.0,312000000000.0,323000000000.0,368000000000.0,401000000000.0,436000000000.0,400000000000.0,390000000000.0,416000000000.0,380000000000.0,396000000000.0,468000000000.0,615000000000.0,696000000000.0,748000000000.0,855000000000.0,1060000000000.0,929000000000.0,1150000000000.0,1400000000000.0,1550000000000.0,1580000000000.0,1470000000000.0,1350000000000.0,1210000000000.0,1330000000000.0,1430000000000.0,1390000000000.0,1330000000000.0,1560000000000.0,1690000000000.0
Austria,AUT,81737498405.0,70755997062.0,70996111963.0,71838528420.0,67719055773.0,69114996010.0,98648254169.0,124000000000.0,133000000000.0,133000000000.0,166000000000.0,173000000000.0,194000000000.0,190000000000.0,203000000000.0,240000000000.0,236000000000.0,212000000000.0,217000000000.0,216000000000.0,196000000000.0,196000000000.0,213000000000.0,261000000000.0,299000000000.0,314000000000.0,334000000000.0,387000000000.0,429000000000.0,399000000000.0,390000000000.0,429000000000.0,407000000000.0,427000000000.0,439000000000.0,380000000000.0,394000000000.0,415000000000.0,453000000000.0,443000000000.0,434000000000.0,480000000000.0,472000000000.0
Burundi,BDI,919726666.7,969046666.7,1013222222.0,1082926304.0,987143931.2,1149979286.0,1201725497.0,1131466494.0,1082403219.0,1113924130.0,1132101253.0,1167398478.0,1083037671.0,938632612.0,925030590.2,1000428394.0,869033856.3,972896267.9,893770740.2,808077223.4,870486065.9,876794723.1,825394519.4,784654423.6,915257323.4,1117113080.0,1273375078.0,1356199387.0,1611835857.0,1781455140.0,2032135192.0,2235820809.0,2333341334.0,2451606632.0,2705783330.0,3104003546.0,2644487777.0,2723586963.0,2667182200.0,2576518880.0,2649680261.0,2775798697.0,3338722828.0
Belgium,BEL,127000000000.0,105000000000.0,92095926188.0,87184239053.0,83349530159.0,86268264148.0,120000000000.0,149000000000.0,162000000000.0,164000000000.0,205000000000.0,211000000000.0,235000000000.0,225000000000.0,245000000000.0,288000000000.0,279000000000.0,253000000000.0,259000000000.0,258000000000.0,237000000000.0,237000000000.0,258000000000.0,318000000000.0,369000000000.0,386000000000.0,408000000000.0,471000000000.0,517000000000.0,485000000000.0,482000000000.0,527000000000.0,498000000000.0,524000000000.0,538000000000.0,461000000000.0,474000000000.0,501000000000.0,543000000000.0,537000000000.0,530000000000.0,599000000000.0,594000000000.0
